FIPS,NAICS2017,NAICS2017_LABEL,n
16055,7224,Drinking places (alcoholic beverages),37
16061,4451,Grocery stores,4
16061,44511,Supermarkets and other grocery (except convenience) stores,4
16061,722,Food services and drinking places,10
16067,722,Food services and drinking places,25
16067,7224,Drinking places (alcoholic beverages),4
16083,4451,Grocery stores,16
16083,44511,Supermarkets and other grocery (except convenience) stores,16
16083,4453,"Beer, wine, and liquor stores",3
16083,722,Food services and drinking places,178
16083,7224,Drinking places (alcoholic beverages),13
16073,4451,Grocery stores,3
16073,44511,Supermarkets and other grocery (except convenience) stores,3
16073,722,Food services and drinking places,18
16073,7224,Drinking places (alcoholic beverages),4
16013,4451,Grocery stores,6
16013,44511,Supermarkets and other grocery (except convenience) stores,6
16013,4453,"Beer, wine, and liquor stores",3
16013,722,Food services and drinking places,104
16013,7224,Drinking places (alcoholic beverages),5
16015,4451,Grocery stores,4
16015,722,Food services and drinking places,21
16021,4451,Grocery stores,3
16021,44511,Supermarkets and other grocery (except convenience) stores,3
16021,4453,"Beer, wine, and liquor stores",3
16021,722,Food services and drinking places,16
16023,722,Food services and drinking places,4
16029,4451,Grocery stores,3
16029,44511,Supermarkets and other grocery (except convenience) stores,3
16029,722,Food services and drinking places,11
16047,4451,Grocery stores,4
16047,44511,Supermarkets and other grocery (except convenience) stores,4
16047,722,Food services and drinking places,24
16047,7224,Drinking places (alcoholic beverages),5
16001,4451,Grocery stores,53
16001,44511,Supermarkets and other grocery (except convenience) stores,50
16001,4453,"Beer, wine, and liquor stores",25
16001,722,Food services and drinking places,991
16001,7224,Drinking places (alcoholic beverages),83
16005,4451,Grocery stores,15
16005,44511,Supermarkets and other grocery (except convenience) stores,10
16005,4453,"Beer, wine, and liquor stores",5
16005,722,Food services and drinking places,170
16005,7224,Drinking places (alcoholic beverages),18
16007,722,Food services and drinking places,13
16011,4451,Grocery stores,8
16011,44511,Supermarkets and other grocery (except convenience) stores,6
16011,722,Food services and drinking places,42
16011,7224,Drinking places (alcoholic beverages),4
16019,4451,Grocery stores,14
16019,44511,Supermarkets and other grocery (except convenience) stores,12
16019,4453,"Beer, wine, and liquor stores",5
16019,722,Food services and drinking places,216
16019,7224,Drinking places (alcoholic beverages),12
16025,722,Food services and drinking places,3
16027,4451,Grocery stores,21
16027,44511,Supermarkets and other grocery (except convenience) stores,20
16027,4453,"Beer, wine, and liquor stores",5
16027,722,Food services and drinking places,285
16027,7224,Drinking places (alcoholic beverages),20
16035,4451,Grocery stores,4
16035,44511,Supermarkets and other grocery (except convenience) stores,4
16035,722,Food services and drinking places,20
16035,7224,Drinking places (alcoholic beverages),4
16051,722,Food services and drinking places,26
16051,7224,Drinking places (alcoholic beverages),5
16057,4451,Grocery stores,10
16057,44511,Supermarkets and other grocery (except convenience) stores,8
16057,4453,"Beer, wine, and liquor stores",3
16057,722,Food services and drinking places,95
16057,7224,Drinking places (alcoholic beverages),15
16059,4451,Grocery stores,6
16059,44511,Supermarkets and other grocery (except convenience) stores,4
16059,722,Food services and drinking places,24
16059,7224,Drinking places (alcoholic beverages),4
16075,4451,Grocery stores,5
16075,44511,Supermarkets and other grocery (except convenience) stores,5
16075,722,Food services and drinking places,28
16075,7224,Drinking places (alcoholic beverages),5
16009,4451,Grocery stores,4
16009,44511,Supermarkets and other grocery (except convenience) stores,4
16009,722,Food services and drinking places,20
16009,7224,Drinking places (alcoholic beverages),5
16017,4451,Grocery stores,14
16017,44511,Supermarkets and other grocery (except convenience) stores,11
16017,4453,"Beer, wine, and liquor stores",4
16017,722,Food services and drinking places,113
16017,7224,Drinking places (alcoholic beverages),13
16037,4451,Grocery stores,5
16037,44511,Supermarkets and other grocery (except convenience) stores,5
16037,722,Food services and drinking places,16
16037,7224,Drinking places (alcoholic beverages),4
16039,4451,Grocery stores,4
16039,44511,Supermarkets and other grocery (except convenience) stores,3
16039,722,Food services and drinking places,47
16039,7224,Drinking places (alcoholic beverages),7
16043,722,Food services and drinking places,19
16065,4451,Grocery stores,3
16065,722,Food services and drinking places,67
16079,4451,Grocery stores,6
16079,44511,Supermarkets and other grocery (except convenience) stores,5
16079,722,Food services and drinking places,50
16079,7224,Drinking places (alcoholic beverages),19
16049,4451,Grocery stores,8
16049,44511,Supermarkets and other grocery (except convenience) stores,7
16049,722,Food services and drinking places,40
16049,7224,Drinking places (alcoholic beverages),7
16081,4451,Grocery stores,3
16081,44511,Supermarkets and other grocery (except convenience) stores,3
16081,722,Food services and drinking places,37
