"Variable","OR_CI_str","prob_CI_str","p_str","OR","CI_l","CI_u","OR_prob","CI_l_prob","CI_u_prob","pvalue","significant"
"% Change in Time Spent in
Places of Residence","1.019 (1.011, 1.027)","  0.46% (  0.27%,   0.66%)","< 0.001",1.01874807079629,1.01088267778958,1.02667466220762,0.46434894644608,0.270594548100213,0.658089398980479,0,TRUE
"StateAbbrAL","0.602 (0.474, 0.764)","-12.41% (-17.82%,  -6.68%)","< 0.001",0.602183788838048,0.474420040574963,0.764354969279693,-12.4148120188652,-17.8232777960642,-6.67793711648938,0,TRUE
"StateAbbrAR","0.592 (0.456, 0.769)","-12.80% (-18.67%,  -6.51%)","< 0.001",0.592464998580927,0.456160583129188,0.76949825900255,-12.7957286904966,-18.673744612086,-6.5131949077865,0,TRUE
"StateAbbrAZ","0.525 (0.418, 0.661)","-15.55% (-20.52%, -10.22%)","< 0.001",0.525465380464042,0.417993073685198,0.660570433935395,-15.553765611895,-20.5222062475324,-10.220270068888,0,TRUE
"StateAbbrCA","0.614 (0.494, 0.764)","-11.95% (-16.93%,  -6.70%)","< 0.001",0.614273867169576,0.494078914332291,0.763708737494701,-11.9473572816596,-16.9308689392022,-6.69870419877107,0,TRUE
"StateAbbrCO","0.654 (0.521, 0.821)","-10.44% (-15.73%,  -4.91%)","< 0.001",0.654430602141291,0.52145917975133,0.82130956678766,-10.443756220764,-15.7263772376359,-4.9055480866854,0,TRUE
"StateAbbrCT","0.695 (0.554, 0.872)"," -9.01% (-14.36%,  -3.43%)","0.002",0.694714409479279,0.553646883898698,0.871725507311717,-9.00699223459495,-14.3646899667842,-3.42663740455508,0.002,TRUE
"StateAbbrDC","0.689 (0.538, 0.882)"," -9.20% (-15.01%,  -3.13%)","0.003",0.68914795263194,0.538337592114008,0.882206458500887,-9.20144522816096,-15.0052371551152,-3.12913445193817,0.003,TRUE
"StateAbbrDE","0.627 (0.480, 0.819)","-11.45% (-17.55%,  -4.97%)","0.001",0.627379000269367,0.480465453495932,0.819214799139192,-11.4485009229244,-17.5463245453399,-4.96877006899764,0.001,TRUE
"StateAbbrFL","0.542 (0.433, 0.677)","-14.86% (-19.77%,  -9.62%)","< 0.001",0.541698287432726,0.433268774986834,0.677263286781894,-14.8635344640114,-19.7705843769035,-9.62093178100051,0,TRUE
"StateAbbrGA","0.595 (0.476, 0.744)","-12.70% (-17.76%,  -7.35%)","< 0.001",0.594920849631662,0.475825461643421,0.743824880879727,-12.6990361453325,-17.7586900341481,-7.34520770775554,0,TRUE
"StateAbbrHI","0.636 (0.495, 0.816)","-11.14% (-16.89%,  -5.05%)","< 0.001",0.635723274094307,0.495037803180832,0.816390341562575,-11.1350352371611,-16.8879407512243,-5.05424561659672,0,TRUE
"StateAbbrIA","0.561 (0.441, 0.713)","-14.07% (-19.39%,  -8.37%)","< 0.001",0.560886258974022,0.441154762005168,0.713113452693928,-14.0661671694967,-19.3888003123716,-8.37325008612048,0,TRUE
"StateAbbrID","0.561 (0.432, 0.729)","-14.06% (-19.83%,  -7.85%)","< 0.001",0.561124985600499,0.43213004252203,0.728626150654889,-14.0563701960956,-19.8260612031409,-7.84940830735151,0,TRUE
"StateAbbrIL","0.680 (0.545, 0.849)"," -9.51% (-14.71%,  -4.08%)","0.001",0.680461631229138,0.54527726688091,0.849160710886825,-9.50745803512167,-14.7133055945659,-4.0785878757081,0.001,TRUE
"StateAbbrIN","0.703 (0.561, 0.880)"," -8.73% (-14.07%,  -3.18%)","0.002",0.702707824375785,0.560872751644361,0.880410547653165,-8.72998207232655,-14.0667215790981,-3.17987613120146,0.002,TRUE
